PID,Start Date,End Date,Source
w47,2021-09-07,2023-01-06,AWARE
tay,2021-09-07,2022-05-02,Fitbit Return
xzj,2021-09-07,2022-05-02,Fitbit Return
nbm,2021-09-07,2022-05-04,Fitbit Return
of0,2021-09-08,2022-05-02,Fitbit Return
aiz,2021-09-08,2022-05-02,Fitbit Return
eg5,2021-09-08,2022-04-28,Fitbit Return
oma,2021-09-08,2022-08-15,AWARE
spe,2021-09-08,2022-08-15,AWARE
ruy,2021-09-08,2022-05-03,Fitbit Return
dbf,2021-09-08,2022-05-06,Fitbit Return
jqv,2021-09-08,2021-12-13,Master Sheet
tgh,2021-09-09,2022-05-04,Fitbit Return
w80,2021-09-09,2022-05-02,Fitbit Return
d70,2021-09-09,2022-05-02,Fitbit Return
bg7,2021-09-09,2022-05-02,Fitbit Return
blw,2021-09-09,2021-10-13,AWARE
tve,2021-09-09,2022-05-02,Fitbit Return
mjk,2021-09-09,2022-05-02,Fitbit Return
vsm,2021-09-10,2022-05-03,Fitbit Return
ha1,2021-09-10,2022-05-02,Fitbit Return
uxg,2021-09-10,2022-05-02,Fitbit Return
t52,2021-09-10,2022-05-03,Fitbit Return
q6d,2021-09-10,2022-03-26,AWARE
ok9,2021-09-10,2021-11-26,AWARE
hx1,2021-09-10,2022-04-28,Fitbit Return
sk5,2021-09-13,2022-05-02,Fitbit Return
l93,2021-09-13,2022-05-02,Fitbit Return
qmq,2021-09-13,2021-09-23,AWARE
bjb,2021-09-13,2023-01-16,AWARE
xfe,2021-09-13,2022-05-02,Fitbit Return
z27,2021-09-14,2022-05-12,Fitbit Return
f98,2021-09-14,2022-05-02,Fitbit Return
vdw,2021-09-14,2022-05-02,Fitbit Return
lce,2021-09-14,2022-05-02,Fitbit Return
o15,2021-09-14,2021-11-18,AWARE
lh5,2021-09-14,2022-05-04,Fitbit Return
f1z,2021-09-15,2022-05-04,Fitbit Return
nko,2021-09-15,2022-05-16,AWARE
zcx,2021-09-15,2022-05-02,AWARE
zhj,2021-09-15,2022-05-04,Fitbit Return
sih,2021-09-15,2022-05-02,Fitbit Return
hht,2021-09-15,2022-05-02,Fitbit Return
wy3,2021-09-16,2022-02-01,AWARE
xur,2021-09-16,2022-05-02,Fitbit Return
iss,2021-09-16,2022-05-02,Fitbit Return
hti,2021-09-16,2022-05-02,Fitbit Return
acy,2021-09-16,2022-05-02,Fitbit Return
vb5,2021-09-16,2022-04-26,AWARE
i48,2021-09-16,2022-05-02,Fitbit Return
w7j,2021-09-16,2022-04-05,AWARE
f49,2021-09-17,2022-05-02,Fitbit Return
mst,2021-09-17,2022-05-02,Fitbit Return
yab,2021-09-17,2022-01-26,AWARE
wu1,2021-09-17,2022-01-24,AWARE
l8d,2021-09-17,2022-05-02,Fitbit Return
plu,2021-09-17,2022-04-08,Fitbit Return
f56,2021-09-20,2022-05-02,Fitbit Return
jpo,2021-09-20,2023-01-16,AWARE
qhl,2021-09-20,2022-05-02,Fitbit Return
rve,2021-09-20,2022-05-02,Fitbit Return
nbh,2021-09-21,2022-05-03,Fitbit Return
vaf,2021-09-21,2022-05-02,Fitbit Return
siz,2021-09-21,2021-12-07,AWARE
v6e,2021-09-21,2022-05-02,Fitbit Return
x68,2021-09-21,2022-05-02,Fitbit Return
tmw,2021-09-22,2022-05-02,Fitbit Return
xbk,2021-09-22,2022-05-03,Fitbit Return
lr2,2021-09-22,2022-05-06,Fitbit Return
kgv,2021-09-29,2022-05-06,Fitbit Return
kev,2021-09-22,2022-05-02,Fitbit Return
yeb,2021-09-22,2022-05-02,Fitbit Return
h58,2021-09-23,2022-05-02,Fitbit Return
n1a,2021-09-23,2022-05-02,Fitbit Return
xle,2021-09-23,2022-05-02,Fitbit Return
yfi,2021-09-23,2022-05-02,Fitbit Return
ep3,2021-09-23,2022-05-03,Fitbit Return
z8b,2021-09-23,2022-05-04,Fitbit Return
odl,2021-09-24,2022-05-02,Fitbit Return
cuf,2021-09-24,2022-05-02,Fitbit Return
